"Location","Overall","White","Black","Hispanic","Asian","American Indian or Alaska Native","Native Hawaiian/Pacific Islander","Multiple Races"
"United States","2.1","2","2.8","2.2","1.3","2.6","6.3","1.1"
"Alabama","3.1","3.2","3.5","NSD","N/A","N/A","NSD","NSD"
"Alaska","N/A","N/A","NSD","NSD","N/A","N/A","NSD","NSD"
"Arizona","2.3","2.2","N/A","3.1","N/A","N/A","N/A","NSD"
"Arkansas","3.5","3.7","N/A","NSD","NSD","NSD","N/A","NSD"
"California","1.9","1.8","2.4","2.2","1.2","N/A","N/A","NSD"
"Colorado","1.4","1.5","NSD","N/A","N/A","NSD","NSD","NSD"
"Connecticut","1.5","1.6","N/A","N/A","NSD","NSD","NSD","NSD"
"Delaware","NSD","N/A","N/A","NSD","N/A","NSD","NSD","NSD"
"District of Columbia","N/A","N/A","N/A","N/A","NSD","NSD","NSD","NSD"
"Florida","2.6","2.8","3.7","1.8","N/A","NSD","NSD","N/A"
"Georgia","2.3","2","3","N/A","N/A","NSD","NSD","N/A"
"Hawaii","NSD","N/A","NSD","N/A","N/A","NSD","N/A","N/A"
"Idaho","NSD","NSD","NSD","N/A","NSD","NSD","NSD","N/A"
"Illinois","2","2","2.7","NSD","N/A","NSD","NSD","NSD"
"Indiana","2.7","2.9","N/A","N/A","N/A","NSD","NSD","NSD"
"Iowa","1.6","1.3","N/A","N/A","N/A","N/A","NSD","NSD"
"Kansas","1.6","NSD","N/A","N/A","N/A","N/A","N/A","N/A"
"Kentucky","3.2","3.4","N/A","N/A","N/A","NSD","NSD","NSD"
"Louisiana","2.5","2.3","3","N/A","N/A","N/A","NSD","NSD"
"Maine","NSD","NSD","N/A","N/A","NSD","NSD","NSD","N/A"
"Maryland","2","1.7","2.3","N/A","N/A","NSD","NSD","N/A"
"Massachusetts","1.1","1.1","NSD","N/A","N/A","NSD","NSD","NSD"
"Michigan","1.9","1.8","2.8","N/A","NSD","N/A","NSD","NSD"
"Minnesota","1.5","1.4","N/A","N/A","N/A","N/A","NSD","NSD"
"Mississippi","4.2","3.7","5.4","NSD","N/A","NSD","NSD","NSD"
"Missouri","2.1","2","NSD","N/A","N/A","NSD","N/A","NSD"
"Montana","N/A","N/A","NSD","NSD","NSD","N/A","NSD","NSD"
"Nebraska","NSD","NSD","N/A","NSD","NSD","N/A","NSD","NSD"
"Nevada","2.4","3.2","N/A","N/A","N/A","NSD","N/A","N/A"
"New Hampshire","NSD","NSD","NSD","NSD","NSD","NSD","NSD","NSD"
"New Jersey","1.6","1.4","NSD","NSD","N/A","NSD","NSD","NSD"
"New Mexico","2.3","NSD","N/A","NSD","NSD","N/A","NSD","NSD"
"New York","1.5","1.5","2.2","1.6","NSD","NSD","NSD","NSD"
"North Carolina","1.8","1.7","2.7","N/A","NSD","NSD","NSD","N/A"
"North Dakota","N/A","N/A","NSD","NSD","NSD","N/A","NSD","NSD"
"Ohio","2.3","2.2","2.6","N/A","N/A","N/A","NSD","NSD"
"Oklahoma","2.5","2.8","N/A","N/A","N/A","N/A","NSD","N/A"
"Oregon","1.6","1.9","NSD","N/A","N/A","NSD","NSD","NSD"
"Pennsylvania","2","1.9","3.1","NSD","N/A","NSD","NSD","NSD"
"Rhode Island","NSD","NSD","NSD","NSD","NSD","NSD","NSD","NSD"
"South Carolina","2.3","2.5","2.4","N/A","NSD","N/A","NSD","NSD"
"South Dakota","N/A","N/A","NSD","NSD","N/A","N/A","NSD","NSD"
"Tennessee","2","1.9","NSD","N/A","N/A","N/A","NSD","NSD"
"Texas","2.7","2.6","2.3","3.3","N/A","N/A","N/A","N/A"
"Utah","1.7","NSD","NSD","N/A","N/A","NSD","N/A","NSD"
"Vermont","N/A","N/A","NSD","NSD","NSD","NSD","NSD","NSD"
"Virginia","1.7","1.6","NSD","NSD","N/A","NSD","NSD","N/A"
"Washington","1.7","1.5","N/A","N/A","N/A","N/A","N/A","N/A"
"West Virginia","3.1","3.2","N/A","NSD","NSD","NSD","NSD","NSD"
"Wisconsin","1.4","1.4","N/A","N/A","N/A","N/A","NSD","NSD"
"Wyoming","N/A","N/A","NSD","NSD","N/A","NSD","NSD","NSD"
